Config,Mode,Threads,Time
input_A,Parallel,2,.306319
input_A,Parallel,4,.400450
input_A,Parallel,6,.178155
input_A,Parallel,8,.277550
input_A,Parallel,10,.274192
input_A,Parallel,12,.257540
input_A,Parallel,14,.145171
input_A,Parallel,16,.226499
input_A,Serial,1,.086666
input_B,Parallel,2,1.754031
input_B,Parallel,4,1.335852
input_B,Parallel,6,4.010951
input_B,Parallel,8,2.494577
input_B,Parallel,10,1.547218
input_B,Parallel,12,2.518704
input_B,Parallel,14,1.293777
input_B,Parallel,16,1.901812
input_B,Serial,1,.463333
input_C,Parallel,2,1.598026
input_C,Parallel,4,1.667867
input_C,Parallel,6,.712571
input_C,Parallel,8,.589139
input_C,Parallel,10,.608514
input_C,Parallel,12,.584609
input_C,Parallel,14,.547049
input_C,Parallel,16,.903247
input_C,Serial,1,.433333
input_D,Parallel,2,9.400151
input_D,Parallel,4,6.347316
input_D,Parallel,6,9.050840
input_D,Parallel,8,5.887414
input_D,Parallel,10,8.509831
input_D,Parallel,12,3.368014
input_D,Parallel,14,3.170965
input_D,Parallel,16,4.481910
input_D,Serial,1,2.526666
input_E,Parallel,2,6.292498
input_E,Parallel,4,3.469500
input_E,Parallel,6,3.623400
input_E,Parallel,8,6.232508
input_E,Parallel,10,2.516024
input_E,Parallel,12,2.549117
input_E,Parallel,14,2.258117
input_E,Parallel,16,2.091133
input_E,Serial,1,3.743333
